13379;BMRZFR21XXX;BANQUE MARZE
13390;UFDCFRP1XXX;UNION FIRE PR DEV ECON CEREAL UNIGRAINS
13400;FRAEFR21XXX;FC FRANCE
13408;EUCUFRP1XXX;EUROPEENNE DE CAUTIONNEMENT S A
13428;CRESFRPZXXX;CREDIT SUISSE AG
13473;GASEFRP1XXX;GDF SUEZ TRADING
13485;CEPAFRPP348;CAISSE D EPARGNE DU LANGUEDOC ROUSSILLON
13488;BLICMCMCXXX;HSBC PRIVATE BANK (MONACO) S A
13489;BNUGFR21;BANQUE NUGER
13490;CEEXFRP1XXX;CENTRAL EXPANSION
13506;AGRIFRPP835;CREDIT AGRICOLE DU LANGUEDOC
13507;CCBPFRPPLIL;BANQUE POPULAIRE DU NORD
13528;UNCRFRPPXXX;UNICREDIT SPA
13538;FNIFFR21XXX;FINIFAC
13539;BPETFRP1XXX;BANQUE SOLFEA
13540;FMSHFRP1XXX;FINANCIERE DU MARCHE SAINT HONORE
13558;AUXFFRP1;AUXIFIP
13579;BSAOFR21XXX;BANQUE SAINT OLIVE
13580;FACFFRPP;GE FACTOFRANCE
13606;AGRIFRPP836;CREDIT AGRICOLE D ILLE ET VILAINE
13607;CCBPFRPPNIO;BANQUE POPULAIRE CENTRE ATLANTIQUE
13648;BOFSFRP1XXX;BANK OF SCOTLAND PLC
13678;IFFIFR21XXX;ABN AMRO COMMERCIAL FINANCE
13688;ISBKFRPPXXX;ISBANK AG
13698;ESFTFR21XXX;ESTER FINANCE TITRISATION
13728;COIPFRP1XXX;COFIPLAN
13758;PRRSFRP1XXX;PRETS ET SERVICES
13769;SGDCFRP1XXX;STE GENERALE PR DEV OPE CIT BAIL IMMOB
13773;INUUFRP1XXX;INVEST SECURITIES
13798;CAOOFR21XXX;CAISSE SOLIDAIRE
13807;CCBPFRPPNAN;BANQUE POPULAIRE ATLANTIQUE
13825;CEPAFRPP382;CAISSE D EPARGNE RHONE ALPES
13838;CNCUFRP1XXX;CNH CAPITAL EUROPE
13858;LOFIFRP1XXX;LOISIRS FINANCE
13878;TKGTFR21XXX;TOYOTA KREDITBK GMBH TOYOTA FRANCE FIN
13888;ELFAFRP1XXX;HSBC FACTORING (FRANCE)
13906;AGRIFRPP839;CREDIT AGRICOLE SUD RHONE ALPES
13907;CCBPFRPPLYO;BANQUE POPULAIRE LOIRE ET LYONNAIS
13928;CAFOFRP1XXX;GE CAPITAL FINANCEMENTS IMMOBILIERS
13953;GLEQFRP1XXX;GLOBAL EQUITIES
13959;AASFFRP1XXX;AGRIFIGEST ALMA  STE FIRE ET AGRIC GEST
13968;UCENFRP1XXX;UCB ENTREPRISES
13973;POWNFRP1XXX;POWERNEXT SA
13998;SDFFFRP1XXX;SAME DEUTZ FAHR FINANCE
14006;AGRIGPGX;CREDIT AGRICOLE DE LA GUADELOUPE
14008;FIPPFRP1XXX;FIMIPAR
14018;NOFAFRP1XXX;NORRSKEN FINANCE
14020;AUOOFR21XXX;FL AUTO
14048;CRESMCMXXXX;CREDIT SUISSE (MONACO)
14078;CCMEFR21XXX;CSSE CIT MUNICIPAL DE LILLE
14108;JODCFR21;JOHN DEERE FINANCIAL
14110;PIFIFRP1XXX;PINATTON FINANCE
